================================================================================
PL 0443  |  PGU-DE-0443_BOP Piping_Field Run(1차분)_CLPL(Rev.1).xlsx
================================================================================
  BOP-PIP-0049                  PL:  1건/     28EA  v16:  1행/     28EA
  BOP-PIP-005                   PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-0050                  PL:  3건/     28EA  v16:  3행/     28EA
  BOP-PIP-0051                  PL:  1건/     28EA  v16:  1행/     28EA
  BOP-PIP-0052                  PL:  1건/     28EA  v16:  1행/     28EA
  BOP-PIP-0053                  PL:  1건/     28EA  v16:  1행/     28EA
  BOP-PIP-0054                  PL:  1건/     28EA  v16:  1행/     28EA
  BOP-PIP-0055                  PL:  1건/     28EA  v16:  1행/     28EA
  BOP-PIP-0056                  PL:  1건/     28EA  v16:  1행/     28EA
  BOP-PIP-0057                  PL:  1건/     28EA  v16:  1행/     28EA
  BOP-PIP-0058                  PL:  2건/     17EA  v16:  2행/     17EA
  BOP-PIP-0059                  PL:  2건/    128EA  v16:  2행/    128EA
  BOP-PIP-006                   PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-0060                  PL:  1건/     19EA  v16:  1행/     19EA
  BOP-PIP-0061                  PL: 17건/    121EA  v16: 17행/    121EA
  BOP-PIP-0062                  PL: 16건/     36EA  v16: 16행/     36EA
  BOP-PIP-007                   PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-008                   PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-009                   PL:  1건/     60EA  v16:  1행/     60EA
  >>> 결과: 총 62패키지  OK=62  DIFF=0  MISSING=0

================================================================================
PL 0524  |  PGU-DE-0524_BOP Piping_General System_batch 3_CIPL(Rev.4).xlsx
================================================================================
  BOP-PIP-001                   PL:  2건/     15EA  v16:  2행/     15EA
  BOP-PIP-002                   PL:  2건/     15EA  v16:  2행/     15EA
  BOP-PIP-003                   PL:  2건/     15EA  v16:  2행/     15EA
  BOP-PIP-004                   PL:  2건/     15EA  v16:  2행/     15EA
  BOP-PIP-005                   PL:  4건/     15EA  v16:  4행/     15EA
  BOP-PIP-006                   PL:  2건/     15EA  v16:  2행/     15EA
  BOP-PIP-007                   PL: 10건/     15EA  v16: 10행/     15EA
  BOP-PIP-008                   PL:  2건/     18EA  v16:  2행/     18EA
  BOP-PIP-009                   PL:  2건/     18EA  v16:  2행/     18EA
  BOP-PIP-010                   PL:  2건/     18EA  v16:  2행/     18EA
  BOP-PIP-011                   PL:  2건/     18EA  v16:  2행/     18EA
  BOP-PIP-012                   PL:  1건/     18EA  v16:  1행/     18EA
  BOP-PIP-013                   PL:  1건/     18EA  v16:  1행/     18EA
  BOP-PIP-014                   PL:  2건/     18EA  v16:  2행/     18EA
  BOP-PIP-015                   PL:  2건/     18EA  v16:  2행/     18EA
  BOP-PIP-016                   PL:  2건/     18EA  v16:  2행/     18EA
  BOP-PIP-017                   PL:  1건/     18EA  v16:  1행/     18EA
  BOP-PIP-018                   PL:  2건/     18EA  v16:  2행/     18EA
  BOP-PIP-019                   PL:  3건/      8EA  v16:  3행/      8EA
  BOP-PIP-020                   PL:  1건/     12EA  v16:  1행/     12EA
  BOP-PIP-021                   PL:  2건/     12EA  v16:  2행/     12EA
  BOP-PIP-022                   PL:  2건/     12EA  v16:  2행/     12EA
  BOP-PIP-023                   PL:  1건/      3EA  v16:  1행/      3EA
  BOP-PIP-024                   PL:  2건/     12EA  v16:  2행/     12EA
  BOP-PIP-025                   PL:  2건/     12EA  v16:  2행/     12EA
  BOP-PIP-026                   PL:  2건/     12EA  v16:  2행/     12EA
  BOP-PIP-027                   PL:  2건/     12EA  v16:  2행/     12EA
  BOP-PIP-028                   PL:  2건/     12EA  v16:  2행/     12EA
  BOP-PIP-029                   PL:  2건/     12EA  v16:  2행/     12EA
  BOP-PIP-030                   PL:  2건/     12EA  v16:  2행/     12EA
  BOP-PIP-031                   PL:  2건/     12EA  v16:  2행/     12EA
  BOP-PIP-032                   PL:  3건/      6EA  v16:  3행/      6EA
  BOP-PIP-033                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-PIP-034                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-PIP-035                   PL:  2건/      6EA  v16:  2행/      6EA
  BOP-PIP-036                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-PIP-037                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-PIP-038                   PL:  3건/      6EA  v16:  3행/      6EA
  BOP-PIP-039                   PL:  1건/      4EA  v16:  1행/      4EA
  BOP-PIP-040                   PL:  7건/     30EA  v16:  7행/     30EA
  BOP-PIP-041                   PL:  1건/     27EA  v16:  1행/     27EA
  BOP-PIP-042                   PL:  4건/     24EA  v16:  4행/     24EA
